,Unnamed: 0,model,alpha,params_keys,params_values,train_acc_score,train_roc_auc_score,train_precision_score,train_recall_score,test_acc_score,test_roc_auc_score,test_precision_score,test_recall_score
0,0,cat,0.75,"['eval_metric', 'learning_rate', 'max_depth', 'n_estimators']","['F1', 0.05, 3, 200]",0.6956753870795516,0.7595233105939893,0.4824324324324324,0.65625,0.6360691144708424,0.6661946122860021,0.4016172506738544,0.5643939393939394
1,1,cat,0.85,"['eval_metric', 'learning_rate', 'max_depth', 'n_estimators']","['F1', 0.05, 3, 200]",0.686865990389749,0.7463192069999558,0.471341874578557,0.6424632352941176,0.6285097192224622,0.6656081204797217,0.3941798941798942,0.5643939393939394
0,0,cat,0.95,"['eval_metric', 'learning_rate', 'max_depth', 'n_estimators']","['F1', 0.05, 3, 300]",0.739374498797113,0.8034854456953477,0.5417256011315418,0.7008234217749314,0.6455424274973147,0.6347272016914874,0.3952802359882006,0.5173745173745173
1,1,cat,1.05,"['eval_metric', 'learning_rate', 'max_depth', 'n_estimators']","['F1', 0.1, 3, 100]",0.6749532210638867,0.7476969965421261,0.461198738170347,0.6688014638609332,0.6143931256713212,0.6258043758043759,0.3677248677248677,0.5366795366795367
2,2,cat,1.15,"['eval_metric', 'learning_rate', 'max_depth', 'n_estimators']","['F1', 0.1, 3, 200]",0.7503341352579525,0.842422460425172,0.5533915379449295,0.7538883806038427,0.6283566058002148,0.6369909450266593,0.3716814159292035,0.4864864864864865
3,3,cat,0.75,"['eval_metric', 'learning_rate', 'max_depth', 'n_estimators']","['F1', 0.1, 3, 100]",0.702485966319166,0.7606389741917116,0.4929078014184397,0.6358645928636779,0.6433941997851772,0.6466003631182203,0.3910447761194029,0.5057915057915058
4,4,cat,0.85,"['eval_metric', 'learning_rate', 'max_depth', 'n_estimators']","['F1', 0.1, 3, 200]",0.7612937717187918,0.8375808150189479,0.5712250712250713,0.7337602927721867,0.6433941997851772,0.6446440062511491,0.3929618768328445,0.5173745173745173
5,5,cat,0.95,"['eval_metric', 'learning_rate', 'max_depth', 'n_estimators']","['F1', 0.05, 3, 200]",0.7030205827318898,0.7530591542443952,0.4934497816593886,0.6203110704483074,0.644468313641246,0.6366404669976098,0.3909090909090909,0.4980694980694981
6,6,cat,1.05,"['eval_metric', 'learning_rate', 'max_depth', 'n_estimators']","['F1', 0.01, 3, 100]",0.5854049719326383,0.6409275380545797,0.3760822510822511,0.6358645928636779,0.5510204081632653,0.5921326300790587,0.3319238900634249,0.6061776061776062
7,7,cat,1.15,"['eval_metric', 'learning_rate', 'max_depth', 'n_estimators']","['F1', 0.01, 3, 100]",0.5677626303127506,0.6364172376811514,0.3632567849686847,0.636779505946935,0.5349087003222341,0.5867145844824416,0.31875,0.5907335907335908
